Date,Company,Title,Location,Description,Level,Type,Function,Industry,Link
2022-09-18,Naval Nuclear Laboratory (FMP),Data,"West Mifflin, PA","Job Description

Are you a manufacturing or industrial engineer with data analytics experience? Are you looking for a challenging position at a company with excellent benefits, great work/life balance, and job stability? The Naval Nuclear Laboratory (NNL) Core Manufacturing (CM) department is looking for a manufacturing or industrial engineer to join our team.

The ideal candidate will have familiarity with manufacturing operations, but also possess/have experience with data analytics skills and tools (data cleaning, SQL, statistical programming, data visualization, etc.). The ideal candidate must have a desire to learn, grow, and support our efforts to move into a more data-driven culture. The newest team member will also work to provide engineering direction and oversight for manufacturing and delivery of nuclear reactor core components. CM's manufacturing/industrial engineers assume significant responsibility for resolving production issues while balancing cost, schedule, technical requirements, and quality. Frequent communication with vendors, Naval Reactors, other contractors, and other departments within NNL is a vital part of the role. The newest team member will be responsible for the review of discrepant product and to determine the path forward for resolution. They will be required to review manufacturing documents and drawings to ensure that contract requirements are being satisfied and document the reviews.",Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Defense and Space Manufacturing",https://www.linkedin.com/jobs/view/data-at-naval-nuclear-laboratory-fmp-3325198344?refId=WKgxygXWSL%2Bk7pThdxZvKw%3D%3D&trackingId=u48jLa3yV0xBNONH%2F8Kkow%3D%3D&position=12&pageNum=3&trk=public_jobs_jserp-result_search-card
2022-09-18,Carmeuse,Power BI Analyst,"Pittsburgh, PA",,,,,,https://www.linkedin.com/jobs/view/power-bi-analyst-at-carmeuse-3186626650?refId=WKgxygXWSL%2Bk7pThdxZvKw%3D%3D&trackingId=wUclyjU2iFYj3R7Gwa8fTg%3D%3D&position=13&pageNum=3&trk=public_jobs_jserp-result_search-card
2022-09-18,Accenture,Data Engineer,"Pittsburgh, PA","Accenture Flex offers you the flexibility of local fixed-duration project-based work powered by Accenture, a leading global professional services company. Accenture is consistently recognized on FORTUNE's 100 Best Companies to Work For and Diversity Inc's Top 50 Companies For Diversity lists.

As an employee, you will apply your skills and experience to help drive business transformation for leading organizations and communities. In addition to delivering innovative solutions for Accenture's clients, you will work with a highly skilled, diverse network of people across Accenture businesses who are using the latest emerging technologies to address today's biggest business challenges.

You will receive competitive rewards and access to benefits programs and world-class learning resources. employees work in their local metro area onsite at the project, significantly reducing and/or eliminating the demands to travel.

:

As a Data Engineer, you will:





















Compensation for roles at Accenture varies depending on a wide array of factors including but not limited to the specific office location, role, skill set and level of experience. As required by local law, Accenture provides a reasonable hourly range of compensation for roles that may be hired in California, Colorado, New York City or Washington as set forth below and



California: $86.82 - $96.82

Colorado: $86.82 - $96.82

New York City: $86.82 - $96.82

Washington: $86.82 - $96.82",Mid-Senior level,Full-time,Research and Strategy/Planning,Business Consulting and Services,https://www.linkedin.com/jobs/view/data-engineer-at-accenture-3351822494?refId=WKgxygXWSL%2Bk7pThdxZvKw%3D%3D&trackingId=9ful6Iwta2dApKV3PJpdoQ%3D%3D&position=14&pageNum=3&trk=public_jobs_jserp-result_search-card
2022-09-18,BNY Mellon,"Specialist, Data Management & Quantitative Analysis","Pittsburgh, PA","Job Description

Job Title: Specialist, Data Management & Quantitative Analysis

Who We Are

BNY Mellon is a global investments company dedicated to helping its clients manage and service their financial assets throughout the investment lifecycle. Whether providing financial services for institutions, corporations or individual investors, BNY Mellon delivers informed investment and wealth management and investment services in 35 countries. As of Dec. 31, 2021, BNY Mellon had $46.7 trillion in assets under custody and/or administration, and $2.4 trillion in assets under management. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments. BNY Mellon is the corporate brand of The Bank of New York Mellon Corporation (NYSE: BK). Additional information is available on . Follow us on Twitter @BNYMellon or visit our newsroom at for the latest company news.


The Treasury Services business with BNY Mellon services the payments, liquidity management and trade financing needs of our clients in the US and internationally, assisting them in their efforts to optimize cash flow, ensure adequate liquidity and manager risk – all essential components to their success.

Today, we are a recognized leader, influencing the industry, assisting our client through changes in our environment and guiding them toward new technologies that will lay the foundation for their long-term success, while also meeting their very real need to continue to use the proven solutions they have traditionally relied upon. We continue to strive to bring faster processes, simpler interactions, actionable data and insights into what rapidly evolving digital solutions promise to deliver in the future. And, while we are committed to the digital transformation of our industry, we also want our clients to know that we are balancing the enthusiasm with a continued focus on providing the stability and reliability they have come to expect from us. We deliver our solutions with a dedication to unsurpassed customer satisfaction, an approach that has continually earned us excellent customer service ratings.



Independently works with internal and external datasets and client reference data and participates in the development of statistical, financial and/or econometric models for analyzing asset performance, securities data, derivative pricing, risk exposure or other sophisticated concepts. Provides analytical project management support for assigned area.





BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer. Minorities/Females/Individuals with Disabilities/Protected Veterans. Our ambition is to build the best global team – one that is representative and inclusive of the diverse talent, clients and communities we work with and serve – and to empower our team to do their best work. We support wellbeing and a balanced life, and offer a range of family-friendly, inclusive employment policies and employee forums.


For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.",Not Applicable,Full-time,Information Technology,Financial Services,https://www.linkedin.com/jobs/view/specialist-data-management-quantitative-analysis-at-bny-mellon-3254148935?refId=WKgxygXWSL%2Bk7pThdxZvKw%3D%3D&trackingId=LLAul2zKHOxFEkvnM5YzEA%3D%3D&position=15&pageNum=3&trk=public_jobs_jserp-result_search-card
2022-09-18,Robert Half,Data Engineer,"Pittsburgh, PA","Description
Experienced in writing scalable applications on distributed architectures
Data driven, testing and measuring as much as you can
Eager to both review peer code and have your code reviewed





Build Scalable, Python, Scala, PySpark, Spark SQL, Amazon Web Services (AWS), MySQL PostgreSQL

Technology Doesn't Change the World, People Do.®

Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.

Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go.

Questions? Call your local office at 1.888.490.4429. Robert Half will consider qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance. All applicants applying for U.S. job openings must be authorized to work in the United States. Benefits are available to temporary professionals. Visit

© 2022 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to",Entry level,Full-time,Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs/view/data-engineer-at-robert-half-3309204792?refId=WKgxygXWSL%2Bk7pThdxZvKw%3D%3D&trackingId=Phfe2z%2FRLHZHzE3KsZuC8Q%3D%3D&position=16&pageNum=3&trk=public_jobs_jserp-result_search-card
2022-09-18,BlastPoint,Data Engineer,"Pittsburgh, PA","About Us

BlastPoint is a B2B data analytics startup located in the East Liberty neighborhood of Pittsburgh. We give companies the power to solve business problems through discovering the humans in their data and understanding how they think. Serving diverse industries including energy, retail, finance, and transportation, BlastPoint’s software platform helps companies plan solutions to customer-facing challenges, from encouraging green behavior to managing customers’ financial stress. Founded in 2016 by Carnegie Mellon Alumni, we are a tight-knit, forward-thinking team.



Why You Should Work for Us

We are looking for a talented Data Engineer to join our growing engineering team. The ideal candidate for this position brings together strong software engineering skills and cloud infrastructure expertise to ensure smooth and timely delivery of actionable insights to customers, leading engineering projects from concept to delivery, contributing to BlastPoint's data onboarding activities, and ensuring that our platform and supporting services are highly-available, secure, and well-maintained.


Professional Requirements
Preferred Skills and Experience",Entry level,Full-time,Information Technology,Software Development,https://www.linkedin.com/jobs/view/data-engineer-at-blastpoint-3327697539?refId=WKgxygXWSL%2Bk7pThdxZvKw%3D%3D&trackingId=b3AeYeoCLmlSj%2FpU0V1%2BbA%3D%3D&position=17&pageNum=3&trk=public_jobs_jserp-result_search-card
2022-09-18,eTeam,BI Report Analyst,"Pittsburgh, PA","Must Have Skills (Top 3 technical skills only) *
Power BI
Any ETL tool
SQL


Business Data ETL BI Report Analyst with 10 years of broad-based experience in business operations, client relations and communications Extensive experience in handling Requirements Management, Business Requirements Document BRD, Functional Requirements Specification FRS, System Requirement Specifications SRS, Data Mapping, Use Case Specifications and Requirements Traceability Matrix. Data Visualization, BI Report and Dashboard development and analysis in visualizing using Power BIWWork independently",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting,https://www.linkedin.com/jobs/view/bi-report-analyst-at-eteam-3330595155?refId=WKgxygXWSL%2Bk7pThdxZvKw%3D%3D&trackingId=A%2Bu1mDszhwJNfQjEazf3IA%3D%3D&position=18&pageNum=3&trk=public_jobs_jserp-result_search-card
2022-09-18,Katalyst HealthCares & Life Sciences,Data Engineer,"Pittsburgh, PA",,,,,,https://www.linkedin.com/jobs/view/data-engineer-at-katalyst-healthcares-life-sciences-3314450843?refId=WKgxygXWSL%2Bk7pThdxZvKw%3D%3D&trackingId=gpd2tvpXtPpW5NPL5olB7w%3D%3D&position=19&pageNum=3&trk=public_jobs_jserp-result_search-card
2022-09-18,Daugherty Business Solutions,Data Engineers,"Pittsburgh, PA","Title

Data Engineers

Overview

Daugherty Business Solutions is looking for Data Engineers of with varying modern technology stack experience, who can adapt to new client environments and learn new technologies quickly.

We are looking for full-stack developers, but also consultants with deep expertise in specific modern technologies. We always want people to apply what they know, but if you don’t know a particular technology of interest, we provide vast opportunities to learn new capabilities.

Daugherty will work with our employees to support preferred work locations, whether from home / remote, hybrid, in-office, or some other combination that still works with our clients’ expectations.

We prefer our consultants to be located in the Eastern, Central, or Mountain timezones within the United States.


As a Data Engineer on Team Daugherty, you will have the opportunity to:



Compensation Range

Negotiable


Daugherty Business Solutions brings a fresh approach to consulting by rolling up our sleeves and working with our clients—collaborating to solve some of their most pressing business challenges. We deliver results. This is why many of the most well-known companies in the world trust us with their mission-critical projects and why working at Daugherty is for the smart, the talented, and the curious.

Life at Daugherty isn’t like your typical consulting job. Every team member plays an integral role in our company’s success, and we treat you that way, starting with our culture.

In our Dev Center, specifically, we like to say that we have the culture of a startup with the security of a 35+ year old company. By that, it's a casual, relaxed agile shop focused on helping you create your best work. (And - A casual dress code is just one part of that success.) The other side... Our consultants work in the cities they live, and you don’t have to worry about your job ending when an engagement is complete.

What We Commit to YOU


We offer members of Team Daugherty


Daugherty Business Solutions is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law.

Due to COVID-19, most of our employees are working remotely. We’ve implemented a virtual hiring process and continue to interview candidates by phone or video and are onboarding new hires remotely. We value the safety of each member of our community because we know we’re all in this together.

If you require accommodations or assistance to complete the online application process, please inform any recruiter you are working with (or send an email to careers@daugherty.com) and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The recruiting team will respond to your email promptly.",Entry level,Full-time,Information Technology,IT Services and IT Consulting,https://www.linkedin.com/jobs/view/data-engineers-at-daugherty-business-solutions-3319591985?refId=WKgxygXWSL%2Bk7pThdxZvKw%3D%3D&trackingId=lFwWfq%2BZxX%2B%2BBnWJQIaI6g%3D%3D&position=20&pageNum=3&trk=public_jobs_jserp-result_search-card
2022-09-18,Daugherty Business Solutions,Data / Information Analysts and Architects,"Pittsburgh, PA","Title

Data / Information Analysts and Architects

Overview

Team Daugherty is looking to grow the Data and Analytics capabilities across our enterprise. Potential roles could include: Informational Architect, Information Analyst, Data Engineer, Data Scientist, or Big Data Developer. Ideal candidates for these positions are problem solvers with the ability to utilize insights, creativity, and perspective to drive business success for our clients. In these roles, you could have the opportunity to work with analysts, technical team leads, and software engineers on business intelligence related architectural issues and best practices. You may also assess organizational readiness, plan and execute a proof of concept, and lead an implementation plan to success. Our Innovation Hub (iHub) allows for our consultants to work on a wide variety of complex data-related business problems for different clients, as our team manages and analyzes copius amounts of data to develop conclusions and analyses.

Daugherty will work with our employees to support preferred work locations, whether from home / remote, hybrid, in-office, or some other combination that still works with our clients’ expectations.

We prefer our consultants to be located in the Eastern, Central, or Mountain timezones within the United States.





Compensation Range

Negotiable


Daugherty Business Solutions brings a fresh approach to consulting by rolling up our sleeves and working with our clients—collaborating to solve some of their most pressing business challenges. We deliver results. This is why many of the most well-known companies in the world trust us with their mission-critical projects and why working at Daugherty is for the smart, the talented, and the curious.

Life at Daugherty isn’t like your typical consulting job. Every team member plays an integral role in our company’s success, and we treat you that way, starting with our culture.

In our Dev Center, specifically, we like to say that we have the culture of a startup with the security of a 35+ year old company. By that, it's a casual, relaxed agile shop focused on helping you create your best work. (And - A casual dress code is just one part of that success.) The other side... Our consultants work in the cities they live, and you don’t have to worry about your job ending when an engagement is complete.

What We Commit to YOU


We offer members of Team Daugherty


Daugherty Business Solutions is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law.

Due to COVID-19, most of our employees are working remotely. We’ve implemented a virtual hiring process and continue to interview candidates by phone or video and are onboarding new hires remotely. We value the safety of each member of our community because we know we’re all in this together.

If you require accommodations or assistance to complete the online application process, please inform any recruiter you are working with (or send an email to careers@daugherty.com) and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The recruiting team will respond to your email promptly.",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,https://www.linkedin.com/jobs/view/data-information-analysts-and-architects-at-daugherty-business-solutions-3319599012?refId=WKgxygXWSL%2Bk7pThdxZvKw%3D%3D&trackingId=XErOg9eR0xCEalUuukErnA%3D%3D&position=21&pageNum=3&trk=public_jobs_jserp-result_search-card
2022-09-18,eNGINE,Systems Engineer,Greater Pittsburgh Region,"eNGINE builds Technical Teams. We are a Solutions and Placement firm shaped by decades of interaction with Technical professionals. Our inspiration is continuous learning and engagement with the markets we serve, the talent we represent, and the teams we build. Our Consulting Workforce is encouraged to enjoy career fulfillment in the form of challenging projects, schedule flexibility, and paid training/certifications. Successful outcomes start and finish with .",Associate,Full-time,Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs/view/systems-engineer-at-engine-3349666725?refId=WKgxygXWSL%2Bk7pThdxZvKw%3D%3D&trackingId=7zw0ClHvK4KZesECpNE0QQ%3D%3D&position=22&pageNum=3&trk=public_jobs_jserp-result_search-card
2022-09-18,BNY Mellon,Information Security - Data Loss Prevention Analyst,"Pittsburgh, PA","Job Description

Who we are:

As a global investments company, BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments, and safeguards nearly one-fifth of the world's financial assets. Every day, our Technology employees make this happen while also seeking out new ways to do it more efficiently and effectively.

As part of BNY Mellon’s global Technology organization, you’ll have the opportunity to engage with some of the best and brightest, technology, business, and financial minds to find new and better ways to exceed our clients’ expectations and build the future of financial services. With more than 230 years of industry leading experience under our belts, you might even say that we are the original fintech.

At BNY Mellon, cybersecurity is a top priority for both technology and the business. The members of the Information Security Division are on constant alert, using their creativity and knowledge of cybersecurity, technology and business processes to develop and deliver creative solutions. In this fast-paced environment, staff collaborate to respond to current risks, while identifying and anticipating future threats. Our cyber capabilities encompass the full spectrum of services from Cyber Operations (SOC, Cyber Threat Intelligence, Vulnerability Management, Cyber Incident Response, Penetration Testing & Red Teaming, Cyber Analytics & Fraud, and Insider threat) to Cyber Architecture and Engineering (Network, Platform, Cloud, and Applications Security). Together with the CISO and his leadership team, staff provide a robust set of cyber services that provide full scope protection and response capabilities across the BNY Mellon enterprise. We help our businesses, the bank’s executive team, and our board of directors understand cybersecurity risk and the steps that must be taken to create and maintain a secure environment that drives innovation.",Not Applicable,Full-time,Finance and Sales,Financial Services,https://www.linkedin.com/jobs/view/information-security-data-loss-prevention-analyst-at-bny-mellon-3326583747?refId=WKgxygXWSL%2Bk7pThdxZvKw%3D%3D&trackingId=RGWkasIdILGMaNWiOj9TPg%3D%3D&position=23&pageNum=3&trk=public_jobs_jserp-result_search-card
2022-09-18,Tandym Group,Data Quality Analyst,"Pittsburgh, PA","A pharmaceutical company located in Pennsylvania is actively seeking a driven and experienced professional to join their staff as their new Data Quality Analyst. In this role, the Data Quality Analyst will define analysis strategy and test plans to ensure quality delivery, including functional testing, data regression analysis, and data validation.",Entry level,Contract,Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs/view/data-quality-analyst-at-tandym-group-3263055403?refId=WKgxygXWSL%2Bk7pThdxZvKw%3D%3D&trackingId=gmwYc0IQloRsS1NHHijVXA%3D%3D&position=24&pageNum=3&trk=public_jobs_jserp-result_search-card
2022-09-18,CGI,Data/Business Analyst,"Pittsburgh, PA",,,,,,https://www.linkedin.com/jobs/view/data-business-analyst-at-cgi-3260436246?refId=WKgxygXWSL%2Bk7pThdxZvKw%3D%3D&trackingId=12dY6S9d0%2B15HBhsJOuoYA%3D%3D&position=25&pageNum=3&trk=public_jobs_jserp-result_search-card
2022-09-18,BNY Mellon,"Specialist, Data Management & Quantitative Analysis","Pittsburgh, PA","Job Description

BNY Mellon powers individuals and institutions to succeed in the global economy providing investment management, investment services and wealth management. BNY Mellon is the corporate brand of The Bank of New York Mellon Corporation (NYSE: BK). With a dedicated business presence on six continents and in 35 countries, BNY Mellon delivers global scale at the local level. The Global Delivery Centre in Wroclaw is a growing location, predominately providing support services to BNY Mellon entities in the areas of fund accounting and investment operations.


Data Operations department is seeking to appoint new manager to coordinate/manage work for variety of shifts in the Middle office. Current scope would include independent oversight of pricing master teams. This scope may grow in future with additional shift teams.





Bachelors degree or the equivalent combination of education and experience. Advanced degree in quantitative analysis preferred.5-7 years experience preferred. Experience in quantitative finance and technology preferred.. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer. Minorities/Females/Individuals with Disabilities/Protected Veterans. Our ambition is to build the best global team – one that is representative and inclusive of the diverse talent, clients and communities we work with and serve – and to empower our team to do their best work. We support wellbeing and a balanced life, and offer a range of family-friendly, inclusive employment policies and employee forums.",Not Applicable,Full-time,Information Technology,Financial Services,https://www.linkedin.com/jobs/view/specialist-data-management-quantitative-analysis-at-bny-mellon-3316833212?refId=B5%2BmvwRALvrwr3CkWdkluQ%3D%3D&trackingId=k1m96pwZ7SEsZ2S5W6qKaA%3D%3D&position=1&pageNum=4&trk=public_jobs_jserp-result_search-card
2022-09-18,COGENT Infotech,Data Engineer,"Pittsburgh, PA","Client team is planning to screen/interview next week. Please share 3 qualified profiles.

Interviews Will Be 2 Rounds


Investment Banking/Finance




JD-

Using ECS container services, Worked with Client's ; Using Configuration management tools like Github, Bamboo etc..

Provides expert level system analysis, design, development, and implementation of applications and processes in AWS. Integrates with third party products as needed.

Translates technical specifications, and/or logical and physical design into code for new or enhancement projects for internal clients. Develops code and test artifacts that reuse subroutines or objects, is well structured, backed by automated tests, includes sufficient comments and is easy to maintain. Writes programs, appropriate test artifacts, ad hoc queries, and reports. Employs contemporary software development techniques to ensure tests are implemented in a way that supports automation.

Provides Production support as needed. Attends scrums and all other required meetings.

Is highly functional on large, matrixed project teams. Interfaces with cross functional team members. Communicates systems issues at the appropriate technical level for each audience.

Thoroughly understands and complies with IT policies and procedures, especially those for quality and productivity standards that enable the team to meet established milestones. Thoroughly understands and complies with all Information Security policies and procedures, and verifies deliverables meet Information Security requirements.

Individual will be embedded with a US based Full Stack Product Team. So should be able to work US hours during the engagement.",Associate,Contract,Information Technology,Business Consulting and Services,https://www.linkedin.com/jobs/view/data-engineer-at-cogent-infotech-3303471246?refId=B5%2BmvwRALvrwr3CkWdkluQ%3D%3D&trackingId=BrU3OOnBcFyHMygTilyzhw%3D%3D&position=2&pageNum=4&trk=public_jobs_jserp-result_search-card
2022-09-18,Vitro,R&D Data Analysis Engineer,"Cheswick, PA","Vitro is the largest glass manufacturer in the Western Hemisphere and the largest glass producer in North America. Vitro’s glass products can be found in some of the most iconic vehicles on the road, in countless buildings and homes around the world, and in billions of glass containers produced every year. With more than 14,000 employees worldwide, we have expanded our global footprint and cemented our leadership role in the industries in which we operate.

At Vitro, we redefine the power of partnership to create value and innovative glass solutions for our customers and communities. Together, we will realize the full potential of glass to shape how we move, build, and live in the future.

Vitro takes active steps to protect the environment and supports several initiatives that promote protection of the environment and reduction of energy consumption in the glass manufacturing process. Our products and technologies reduce energy consumption and emissions in buildings and vehicles, and we minimize the use of natural resources in manufacturing.

Together, we have the power to make more than glass. We can make the future a brighter place for years to come.


Vitro Architectural Glass manufactures a broad range of industry-leading, energy-efficient products such as Solarban ® , Sungate ® and Starphire Ultra-Clear ® glasses. Throughout our storied history, collaboration and innovation have been central to our advancements. Today, the key to our success continues to lie in the strength of our partnerships. With a foundation formed on trust, teamwork and shared excitement, the possibilities for impactful innovations in glass are truly endless.

With manufacturing facilities throughout the U.S. and Mexico, Vitro Architectural Glass is committed to sustainable manufacturing processes and products. Vitro also operates one of the world’s largest glass research and development facilities in Pittsburgh, PA and has four residential glass fabrication plants in Canada.

Website: www.vitroglazings.com

We have an opening for a Data Analysis Engineer within the Research and Development organization. This individual will do data analysis, modeling, develop and deploy data analytics tools for Architectural glass operations. The main application domain will be in glass melting and forming, and glass coating (sputtering, thin film, etc.). The primary focus of this position will be in integrating and preparing large and varied datasets from different data sources, applying data mining techniques, doing advanced statistical analysis, building high quality prediction systems integrated within our research and manufacturing platforms, and communicate results with scientists and engineers.

This position is based out of our Glass Technology Research Center near Pittsburgh, PA. While much of the work will be remote, travel to our manufacturing facilities to support development and deployment of new production-focused tools and instruments may be required.",Entry level,Full-time,Engineering and Information Technology,"Glass, Ceramics and Concrete Manufacturing",https://www.linkedin.com/jobs/view/r-d-data-analysis-engineer-at-vitro-3192673562?refId=B5%2BmvwRALvrwr3CkWdkluQ%3D%3D&trackingId=5cz3VZiUzRoC5dXdK7FNBQ%3D%3D&position=3&pageNum=4&trk=public_jobs_jserp-result_search-card
2022-09-18,Media.Monks,Digital Analytics Consultant,"Pittsburgh, PA","Opportunity

Media.Monks is looking for an experienced Digital Analytics Consultant with enterprise-level client facing experience in analytics and implementation of marketing and e-commerce projects. This experience should include helping clients to develop data strategies, complex measurement projects, and experience driving value with expert knowledge and client relationship skills.

You will be responsible for analytics initiatives, including managing relationships with a number of enterprise clients, building out their analytics framework, overseeing tagging, and ad-hoc reporting needs.

The ideal candidate has a history of working with Google Analytics, Google Tag Manager, and the Google Marketing Platform to help a variety of businesses, overseeing or directly having a hand in the implementation of their data collection, as well as finding ways to utilize this data to drive value for their clients through reporting and analysis.

This role also offers a huge opportunity for growth within our North America and global data team, the ability to participate in innovation on projects, and the potential to advance the practice of analytics and data from the forefront.





We’re not just looking for a cog in a machine. We want someone hungry to make an impact on our organization, and who can help propel us forward as a leading global data and media consultancy.



It seems to change weekly, always evolving, growing, changing; whether that’s new products, technologies, government regulations, you name it. The only way we can provide the best value to our clients is to ride that wave, which means we’re learning and growing. Whether it’s through internal training, dedicated time for learning & development, or even paying for resources, we do whatever it takes to make sure we’re on top of our game. When you’re on our team, you’ll always have an opportunity to grow. It’s a requirement.



New problem we’ve never faced before? We’ll figure it out together.









We are looking for candidates that can wear two hats comfortably - “business” and “data” - with at least 2-3 years of client facing experience with Google Analytics. Ideally, this experience is with a digital marketing consulting firm, agency, or advertiser.

Beyond the experience with Google Analytics, in our eyes the most important qualities are intellectual curiosity, autonomy, and proactivity.















Media.Monks is on a mission to create a new future for this industry. Our vision? Build everything with a belief that changing for good comes from changing who does the work. Yep, that means you. Welcome to the party—one global, cross-cultural collective with a passion for using our skills to create better and a better world. That’s how we’re able to connect the dots between data, content, digital media, and technology from everywhere we are—a true end-to-end model. Joining the Media.Monks collective means having the opportunity to create award-winning work with some of the most gifted, focused, joyful, talents from all over the world.

At Media.Monks, you’ll be joining a highly ambitious company on a global mission to win the decade by changing the industry for good. Partner to 8 of the 10 most innovative companies in the world, Media.Monks works with established as well as up-and-coming global, regional, DTC and B2B brands, helping them own their data and build out customer ecosystems to elicit smart, efficient, high-impact engines for growth. We deliver table stakes quickly, creating cost efficiencies from day one to push up the creative effectiveness of our work with every cycle.

We are an equal-opportunity employer committed to building a respectful and empowering work environment for all people to freely express themselves amongst colleagues who embrace diversity in all respects. Including fresh voices and unique points of view in all aspects of our business not only creates an environment where we can all grow and thrive but also increases our potential to produce work that better represents—and resonates with—the world around us.",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Advertising Services,https://www.linkedin.com/jobs/view/digital-analytics-consultant-at-media-monks-3274719036?refId=B5%2BmvwRALvrwr3CkWdkluQ%3D%3D&trackingId=RIQSjO2NDyq0PVbxYeofTQ%3D%3D&position=4&pageNum=4&trk=public_jobs_jserp-result_search-card
2022-09-18,Carmeuse,Data Engineer,"Pittsburgh, PA","Job Description

As Data Engineer, you will be responsible for the completeness, consistency and performances of the systems. You will also ensure the necessary corrective actions to maintain the constant availability and stability of the systems (in collaboration with Data Warehouse Architect and IT Server team).









READY TO JOIN A ROCK-SOLID FAMILY?

Carmeuse started out as a small family-run business in Belgium.

Today it’s a leading global producer of lime, high calcium limestone and dolomitic stone. Its products are essential to energy producers, environmental services, construction and manufacturing.

With over 90 production facilities spread across almost every continent, and over 4,500 employees working at Carmeuse every day, the company’s most treasured resources are its people.

@",Entry level,Full-time,Information Technology,Nonmetallic Mineral Mining,https://www.linkedin.com/jobs/view/data-engineer-at-carmeuse-3325217467?refId=B5%2BmvwRALvrwr3CkWdkluQ%3D%3D&trackingId=1r0OcbJ%2FTwp5ZobMN3%2BBbQ%3D%3D&position=5&pageNum=4&trk=public_jobs_jserp-result_search-card
